,sentence,tag
0,"Welcome to celebal tech,IVR automation demo.",1
1,"Hello. Hi, how are you?",1
2,"I'm fine. Thank you for calling CT,Health insurance,My name is Prashanth, how can I help you today?",2
3,I have an health policy with you. I wanted to know when do I need to renew the policy.,1
4,"Of course I can do that,Could you please confirm few details before I give you the necessary information? Could you please tell me your registered mobile number?",1
5,"Yeah, sure, my mobile number is 9996668887.",2
6,"I can confirm that you have active health insurance policy with us,Can you confirm your name and date of birth for authentication?",2
7,Sure. My name is Manoj and my date of birth is 20 June 1999.,2
8,"Thanks for confirmation,I can see that your policy is due for the renewal on 25th August 2021, which is in,Two weeks from now,You can renew either for one year or two years. The one year option is,2020,And 2 year option is,3690.",2
9,"I want to go for two,year option.",2
10,"Would you like me to generate a payment link,For renewal of this option.",1
11,"Yeah, sure.",1
12,"Sure, I will share the link with you shortly.",1
13,I have a doubt. Will this policy cover my family as well?,0
14,"Yes,Your current policy covers you, your spouse, and your parent.",1
15,OK. Can you send me the payment link?,1
16,Of course you will receive a payment link on your registered mobile number and email address.,1
17,Thank you.,2
18,"Hello everyone,This IVR automation for banking is powered by celebal technologies.",2
19,OK.,1
20,"Hi I am Prashanth calling you from celebal tech bank,We have an EMI offer specially created for you. Would you like to know more about the offer?",2
21,"Yes, I want to know.",2
22,"This call is being recorded by celebal tech bank,For security reasons, please do not share your CVV and OTP with anyone,As I can see here transaction of 40,000 done on myntra,Would you like to convert this into EMI?",1
23,"No, not this one.",0
24,"OK,I can also see a transaction of 25,000 done on,Nyka would you,Like to convert this into EMI.",1
25,I want the transaction done on Nyka.,1
26,"That's great,You have done a transaction of 25,000,On Nyka, would you like to convert this into EMI?",2
27,I didn't get you. Can you repeat?,0
28,"That's great,You have done a transaction of 25,000 on nyka. Would you like to convert this into EMI?",2
29,Hold on for a second.,0
30,"Sure, I will hold. Please let me know when to continue.",1
31,"Yes, What you were saying.",1
32,"Sure. I was saying that's great. You have done a transaction of 25,000 on nyka. Would you like to convert this into EMI?",2
33,"Yes, sure.",2
34,"That's a great choice, Sir,Could you please confirm at what tenure,Would you be interested in?",2
35,What is tenure period?,1
36,"Set up,The tenure period is the number of months in which you pay your EMI for the transaction amount,So can you please let me,The tenure period.",1
37,What will be the monthly payment for 9 month EMI option?,1
38,"Sure,According to the tenure period of nine months, the monthly amount payable will be,1600 it will consist of 12% plus tax on the interest amount. Should I proceed?",1
39,I want six month EMI option.,1
40,"Sure. Let me brief you,According to the tenure period of six months,Your first EMI installment will be 2171 with the interest rate of 12%,And there is also a one time,Processing fee applicable which will be of 450 excluding service tax. This processing fee place your first EMI will be included in your upcoming bill. Should I proceed?",1
41,"What will happen,If I preclose this EMI.",0
42,"Mr Manoj, your total transaction amount is 25,000,And the EMI will be 2171,for 6 months of EMI,The EMI consists of principle amount plus tax on interest,Which will keep on reducing every month. I hope the details are clear. Should I proceed?",1
43,"Yes, proceed.",2
44,"Thank you Sir. The EMI amount will be temporarily kept on hold in your credit card limit and when you pay your EMI the limit will be released. Hope you are clear with this information. Please confirm few details,Like credit limit and date of birth.",2
45,Can you repeat again?,0
46,"Thank you, Sir. That EMI amount will be temporarily kept on hold in your credit card limit,And when you pay your EMI, the limit will be released. Hope you are clear with this information. Please confirm few details like credit limit and date of birth.",2
47,But you told me not to share any details.,0
48,"Sir, I am not asking for sensitive information. We need this details for verification purpose. So should I proceed?",1
49,Yes.,2
50,Thank you. Can you tell me your credit limit?,2
51,"My credit limit is 90,000.",1
52,"Thanks for confirming your credit limit,Can you please help me with your postal code?",2
53,My postal code is 263139.,1
54,"Thanks for confirming your postal code,Can you please help me with your date of birth?",2
55,Two May 1975.,1
56,"We are all done,You will receive an email update shortly. Have a wonderful day ahead. Keep banking with celebal tech bank. Thank you.",2
57,Thank you.,2
58,"Hello everyone,This IVR automation for banking is powered by celebal technologies.",2
59,Hi.,1
60,"Hi,I am Prashanth calling you from Celebal Tech Bank,We have an EMI offer specially created for you. Do you want to know more about this offer?",2
61,"Yes, sure.",2
62,"This call is being recorded by celebal tech bank. Please do not share your CVV and OTP with anyone for security reasons,As I can see from this picture, it transaction of 14,000 was done on Flipkart,Would you like to convert this into EMI?",1
63,I want a loan instead.,0
64,What type of loan do you need?,1
65,I need a study loan for my masters.,1
66,How much money will you need for this loan?,1
67,I need 9 Lacs.,1
68,"I have locked,You were didn't our customer representative will reach out to you soon? Keep banking with celebal tech bank. Thank you.",2
69,Thank you very much.,2
