,sentence,tag
0,"Welcome to celebal tech,IVR automation demo.",Neutral
1,"Hello. Hi, how are you?",Neutral
2,"I'm fine. Thank you for calling CT,Health insurance,My name is Prashanth, how can I help you today?",Positive
3,I have an health policy with you. I wanted to know when do I need to renew the policy.,Neutral
4,"Of course I can do that,Could you please confirm few details before I give you the necessary information? Could you please tell me your registered mobile number?",Neutral
5,"Yeah, sure, my mobile number is 9996668887.",Positive
6,"I can confirm that you have active health insurance policy with us,Can you confirm your name and date of birth for authentication?",Positive
7,Sure. My name is Manoj and my date of birth is 20 June 1999.,Positive
8,"Thanks for confirmation,I can see that your policy is due for the renewal on 25th August 2021, which is in,Two weeks from now,You can renew either for one year or two years. The one year option is,2020,And 2 year option is,3690.",Positive
9,"I want to go for two,year option.",Positive
10,"Would you like me to generate a payment link,For renewal of this option.",Neutral
11,"Yeah, sure.",Neutral
12,"Sure, I will share the link with you shortly.",Neutral
13,I have a doubt. Will this policy cover my family as well?,Negative
14,"Yes,Your current policy covers you, your spouse, and your parent.",Neutral
15,OK. Can you send me the payment link?,Neutral
16,Of course you will receive a payment link on your registered mobile number and email address.,Neutral
17,Thank you.,Positive
18,"Hello everyone,This IVR automation for banking is powered by celebal technologies.",Positive
19,OK.,Neutral
20,"Hi I am Prashanth calling you from celebal tech bank,We have an EMI offer specially created for you. Would you like to know more about the offer?",Positive
21,"Yes, I want to know.",Positive
22,"This call is being recorded by celebal tech bank,For security reasons, please do not share your CVV and OTP with anyone,As I can see here transaction of 40,000 done on myntra,Would you like to convert this into EMI?",Neutral
23,"No, not this one.",Negative
24,"OK,I can also see a transaction of 25,000 done on,Nyka would you,Like to convert this into EMI.",Neutral
25,I want the transaction done on Nyka.,Neutral
26,"That's great,You have done a transaction of 25,000,On Nyka, would you like to convert this into EMI?",Positive
27,I didn't get you. Can you repeat?,Negative
28,"That's great,You have done a transaction of 25,000 on nyka. Would you like to convert this into EMI?",Positive
29,Hold on for a second.,Negative
30,"Sure, I will hold. Please let me know when to continue.",Neutral
31,"Yes, What you were saying.",Neutral
32,"Sure. I was saying that's great. You have done a transaction of 25,000 on nyka. Would you like to convert this into EMI?",Positive
33,"Yes, sure.",Positive
34,"That's a great choice, Sir,Could you please confirm at what tenure,Would you be interested in?",Positive
35,What is tenure period?,Neutral
36,"Set up,The tenure period is the number of months in which you pay your EMI for the transaction amount,So can you please let me,The tenure period.",Neutral
37,What will be the monthly payment for 9 month EMI option?,Neutral
38,"Sure,According to the tenure period of nine months, the monthly amount payable will be,1600 it will consist of 12% plus tax on the interest amount. Should I proceed?",Neutral
39,I want six month EMI option.,Neutral
40,"Sure. Let me brief you,According to the tenure period of six months,Your first EMI installment will be 2171 with the interest rate of 12%,And there is also a one time,Processing fee applicable which will be of 450 excluding service tax. This processing fee place your first EMI will be included in your upcoming bill. Should I proceed?",Neutral
